scenario_id,domain,title,persona,route,priority,test_type,preconditions,steps,expected_result,evidence,status
AST-004,Assets,Return or mark assigned asset lost,Asset Custodian,/assets,P0,BOUNDARY,"Assigned asset exists","Return asset normally; separately test damaged return or lost flow on another asset","Normal return restores expected availability; damaged return enters maintenance state; lost flow enters lost state; assignment closes","Final asset statuses and assignment history",READY
WF-001,Workflow,Create request type and SLA,Workflow Admin,/workflow,P0,POSITIVE,"UAT company exists; workflow.request_type.manage permission","Create active request type with SLA minutes and requiredFieldsJson","Type appears with code/name/SLA/required fields","Request-type screenshot",READY
WF-002,Workflow,Configure multi-step approval flow,Workflow Admin,/workflow,P0,POSITIVE,"Request type exists; approver user/role IDs known","Add ordered USER/ROLE approval steps and save","Active step list is persisted in exact order; type version increments as designed","Approval-flow screenshot",READY
WF-003,Workflow,Submit request and preserve approval snapshot,Requester,/workflow,P0,SNAPSHOT,"Request type and approval flow exist","Create draft request; submit; then alter request-type approval flow as admin; reopen submitted request","Submitted request keeps original approval snapshot and is not retroactively changed","Submitted request approvals before/after type edit",READY
WF-004,Workflow,Approve request through all steps,Approver(s),/workflow,P0,END_TO_END,"Submitted request has at least two approval steps","First approver approves; second approver approves","Current step advances in order; final request becomes APPROVED/RESOLVED according to workflow model; timeline records each action","Request detail approvals and timeline",READY
WF-005,Workflow,Reject request and retain audit timeline,Approver,/workflow,P0,NEGATIVE,"Submitted request pending approver","Reject with explanatory note","Request transitions to rejection terminal state; note and actor/time appear in timeline","Rejected request detail and timeline",READY
WF-006,Workflow,Process SLA threshold events,Workflow Admin,/workflow,P1,BOUNDARY,"Request with short SLA is due/overdue; workflow.sla.process permission","Run SLA processing; reload events","Expected SLA event is emitted once with severity/message and request identity","SLA event row screenshot",READY
RBAC-001,Authorization,Restricted user cannot access admin actions,Restricted User,/personnel;/attendance;/payroll;/assets;/workflow,P0,AUTHORIZATION,"User has view-only subset of permissions and valid company scope","Open module routes; attempt create/manage/approve operations where controls are absent or API would deny","Unauthorized controls are not rendered and direct API attempts are denied; view access remains within granted scope","Screenshots plus HTTP status for one direct denied call",READY
RBAC-002,Authorization,Company scope prevents cross-company data access,Scoped HR User,/personnel,P0,AUTHORIZATION,"Two companies exist; user scoped to only one","List/search employees and dependent business records; attempt direct request using other company ID","Only scoped company data is returned; cross-company operation is denied/not found according to contract","Result lists and one denied cross-company request",READY
E2E-001,CrossDomain,Employee month from attendance to payroll,HR + Payroll,/personnel;/attendance;/attendance/daily;/attendance/overtime;/meal;/camp;/payroll,P0,END_TO_END,"UAT organization and reference data exist","Create employee; assign shift/calendar; ingest punches; calculate attendance; approve overtime; record meals; create/close camp stay; set compensation; calculate payroll","Payroll result traces prepared attendance/overtime/meal/camp inputs without unexplained variance","Scenario IDs used, prepared source totals and payroll result reconciliation",READY
E2E-002,CrossDomain,Employee exit and asset/camp closure,HR + Admin Affairs,/personnel/{id};/assets;/camp,P1,END_TO_END,"Employee has active asset assignment and camp stay","Perform required asset return and camp checkout; terminate employee through Personel 360","No active operational assignment remains after exit; historical records remain visible/auditable","Employee status plus closed asset/stay evidence",READY
